language_family,iso_label,endonym,iso_6391,iso_6392T,iso_6392B,iso_6393
Northwest Caucasian,Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk,abk
Afroasiatic,Afar,Afaraf,aa,aar,aar,aar
Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr
Niger-Kongo,Akan,Akan,ak,aka,aka,aka + 2
Indo-European,Albanian,Shqip,sq,sqi,alb,sqi + 4
Afroasiatic,Amharic,አማርኛ,am,amh,amh,amh
Afroasiatic,Arabic,العربية,ar,ara,ara,ara + 30
Indo-European,Aragonese,aragonés,an,arg,arg,arg
Indo-European,Armenian,Հայերեն,hy,hye,arm,hye
Indo-European,Assamese,অসমীয়া,as,asm,asm,asm
Northeast Caucasian,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava,ava
Indo-European,Avestan,avesta,ae,ave,ave,ave
Aymara,Aymara,aymar aru,ay,aym,aym,aym + 2
Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,aze + 2
Niger-Kongo,Bambara,bamanankan,bm,bam,bam,bam
Turkic,Bashkir,башҡорт теле,ba,bak,bak,bak
Isolated,Basque,"euskara, euskera",eu,eus,baq,eus
Indo-European,Belarusian,беларуская мова,be,bel,bel,bel
Indo-European,Bengali,বাংলা,bn,ben,ben,ben
Indo-European,Bihari languages,भोजपुरी,bh,bih,bih,
Creole,Bislama,Bislama,bi,bis,bis,bis
Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos
Indo-European,Breton,brezhoneg,br,bre,bre,bre
Indo-European,Bulgarian,български език,bg,bul,bul,bul
Sino-Tibetan,Burmese,ဗမာစာ,my,mya,bur,mya
Indo-European,"Catalan, Valencian","català, valencià",ca,cat,cat,cat
Austronesian,Chamorro,Chamoru,ch,cha,cha,cha
Northeast Caucasian,Chechen,нохчийн мотт,ce,che,che,che
Niger-Kongo,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,nya,nya
Sino-Tibetan,Chinese,"中文 (Zhōngwén),汉语 / 漢語  (Hànyǔ)",zh,zho,chi,zho + 14
Turkic,Chuvash,чӑваш чӗлхи,cv,chv,chv,chv
Indo-European,Cornish,Kernewek,kw,cor,cor,cor
Indo-European,Corsican,"corsu, lingua corsa",co,cos,cos,cos
Algonquian,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,cre + 6
Indo-European,Croatian,hrvatski jezik,hr,hrv,hrv,hrv
Indo-European,Czech,"čeština, český jazyk",cs,ces,cze,ces
Indo-European,Danish,dansk,da,dan,dan,dan
Indo-European,"Divehi, Dhivehi, Maldivian",ދިވެހި,dv,div,div,div
Indo-European,"Dutch, Flemish","Nederlands, Vlaams",nl,nld,dut,nld
Sino-Tibetan,Dzongkha,རྫོང་ཁ,dz,dzo,dzo,dzo
Indo-European,English,English,en,eng,eng,eng
Constructed Language,Esperanto,Esperanto,eo,epo,epo,epo
Uralic,Estonian,"eesti, eesti keel",et,est,est,est + 2
Niger-Kongo,Ewe,Eʋegbe,ee,ewe,ewe,ewe
Indo-European,Faroese,føroyskt,fo,fao,fao,fao
Austronesian,Fijian,vosa Vakaviti,fj,fij,fij,fij
Uralic,Finnish,"suomi, suomen kieli",fi,fin,fin,fin
Indo-European,French,"français, langue française",fr,fra,fre,fra
Niger-Kongo,Fulah,"Fulfulde, Pulaar, Pular",ff,ful,ful,ful + 9
Indo-European,Galician,Galego,gl,glg,glg,glg
South Caucasian,Georgian,ქართული,ka,kat,geo,kat
Indo-European,German,Deutsch,de,deu,ger,deu
Indo-European,"Greek, Modern (1453–)",ελληνικά,el,ell,gre,ell
